packaging,base_name,ecommerce_category,mrp
standard,Colgate 200 g Cdbox Swarna Vedshakti Anticavity Herbal Family Protctn,Oral Care & Toothpaste,135
80g,Colgate Barbie,Oral Care & Toothpaste,93
240G,Colgate CHARCOAL,Oral Care & Toothpaste,276
100g,Colgate Herbal,Oral Care & Toothpaste,85
40g,Colgate Kids,Oral Care & Toothpaste,60
100g,Colgate Maxfresh,Oral Care & Toothpaste,61
100g,Colgate Maxfresh Blue Gel,Oral Care & Toothpaste,55
100g,Colgate Powder,Oral Care & Toothpowder,62
70g,Colgate Sensitive,Oral Care & Toothpaste,130
100g,Colgate Strong Teeth,Oral Care & Toothpaste,66
40g,Colgate Strong Teeth,Oral Care & Toothpaste,20
200g,Colgate Toothpaste Dental Cream Strong Teeth,Oral Care & Toothpaste,125
standard,Colgate Visible White Toothpaste Saver 200 g,Oral Care & Toothpaste,280
3N,Colgate Zig Zag,Oral Care & Toothbrush,70
250g,Colgate mouthwash fresh tea,Oral Care & Mouthwash,150
200g,Rice Papad Jeera,Ready to Cook & Instant Mixes,70
500ml,Colin,Bathroom Cleaners,96
210ml,Comfort,Food & Grocery,58
standard,Comfort Blue,Food & Grocery,235
standard,Comfort Blue Pouch,Food & Grocery,480
200g,Continental Special Coffee,Coffee,390
50g+50g,Continental Special Coffee,Coffee,200
25g,Continental Special Pure Coffee,Coffee,90
200g,Continental xtra Coffee,Coffee,280
standard,Colget Visible White,Oral Care & Toothpaste,79
standard,Cornflour,Flours & Semolina,60
standard,Cornflour,Flours & Semolina,120
100g,Cranberry,Food & Grocery,80
250g,Crush Peanut Chikki,Juices & Concentrates,100
105g,Cycle three in one,Food & Grocery,50
standard,DAAWAT [BASMTI] 1 kg TRADITIONAL RICE,"Rice, Poha & Puffed Rice",210
standard,DETTOL,Household Cleaning,208
standard,DETTOL ORIGINAL 5*75 g EWR PROTCN 00 ILLNESS CAUSING GRMS +B4G1,Handwash & Sanitizers,199
standard,DETTOL ORIGINAL [HNDWSH] 750 ML PPH EDP BE 100% SURE PH BALANCED,Handwash & Sanitizers,109
100g,Cornflour,Flours & Semolina,16
standard,DOVE COND DALILY,Dals & Pulses,210
standard,DOVE PINK 125 g,Food & Grocery,82
275ml,Dabur Amla Hair Oil,Cooking Oils,138
250g,Dabur Chyawanprash,Health Drinks,99
42g,Dabur Red Paste,Oral Care & Toothpaste,20
150ml,Dabur Vatika Coconut Oil,Cooking Oils,97
300ml,Dabur Vatika Coconut Oil,Cooking Oils,180
100g,Dabur honey,"Sauces, Jams & Spreads",65
300g,Dabur honey,"Sauces, Jams & Spreads",120
50g,Dabur honey,"Sauces, Jams & Spreads",40
640ml,Dabur vatika health shampoo,Hair Care & Shampoo,445
standard,Dagadful,Food & Grocery,15
standard,Dagadful,Food & Grocery,30
standard,Dagadful,Food & Grocery,150
standard,Dagadful,Food & Grocery,300
200g,Sabudana Masala Papad,Ready to Cook & Instant Mixes,70
200g,Dal Sev,Snacks & Namkeen,80
standard,Dalchini,Food & Grocery,150
standard,Dalchini,Food & Grocery,300
standard,Daliya,Food & Grocery,200
100g,Daliya,Food & Grocery,24
250g,Daliya,Food & Grocery,60
100g,Dantkanti Advanced,Oral Care & Toothpaste,90
50g,Dark Fantancy vanilla cream,Food & Grocery,10
standard,Dark Fantasy Milk Shake,Milk & Dairy,75
100g,Davidoff Espresso 57 Coffee,Coffee,650
100g,Davidoff Fine Aroma Coffee,Coffee,550
900ml,Deep Shakti Deep Oil,Pooja Essentials,200
150g,Dermi Cool Fresh Aloe,Food & Grocery,125
